circuitId,circuitRef,name,country
61,avus,AVUS,Germany
29,adelaide,Adelaide Street Circuit,Australia
64,ain-diab,Ain Diab,Morocco
58,aintree,Aintree,UK
1,albert_park,Albert Park Grand Prix Circuit,Australia
21,imola,Autodromo Enzo e Dino Ferrari,Italy
76,mugello,Autodromo Internazionale del Mugello,Italy
14,monza,Autodromo Nazionale di Monza,Italy
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico
36,jacarepagua,Autódromo Internacional Nelson Piquet,Brazil
75,portimao,Autódromo Internacional do Algarve,Portugal
18,interlagos,Autódromo José Carlos Pace,Brazil
25,galvez,Autódromo Juan y Oscar Gálvez,Argentina
27,estoril,Autódromo do Estoril,Portugal
3,bahrain,Bahrain International Circuit,Bahrain
73,baku,Baku City Circuit,Azerbaijan
38,brands_hatch,Brands Hatch,UK
68,buddh,Buddh International Circuit,India
51,charade,Charade Circuit,France
66,bremgarten,Circuit Bremgarten,Switzerland
7,villeneuve,Circuit Gilles Villeneuve,Canada
52,tremblant,Circuit Mont-Tremblant,Canada
39,zandvoort,Circuit Park Zandvoort,Netherlands
34,ricard,Circuit Paul Ricard,France
4,catalunya,Circuit de Barcelona-Catalunya,Spain
6,monaco,Circuit de Monaco,Monaco
8,magny_cours,Circuit de Nevers Magny-Cours,France
67,pedralbes,Circuit de Pedralbes,Spain
13,spa,Circuit de Spa-Francorchamps,Belgium
69,americas,Circuit of the Americas,USA
59,boavista,Circuito da Boavista,Portugal
26,jerez,Circuito de Jerez,Spain
37,detroit,Detroit Street Circuit,USA
41,dijon,Dijon-Prenois,France
31,donington,Donington Park,UK
42,dallas,Fair Park,USA
16,fuji,Fuji Speedway,Japan
10,hockenheimring,Hockenheimring,Germany
11,hungaroring,Hungaroring,Hungary
19,indianapolis,Indianapolis Motor Speedway,USA
5,istanbul,Istanbul Park,Turkey
45,jarama,Jarama,Spain
77,jeddah,Jeddah Corniche Circuit,Saudi Arabia
35,yeongam,Korean International Circuit,Korea
30,kyalami,Kyalami,South Africa
44,las_vegas,Las Vegas Street Circuit,USA
80,vegas,Las Vegas Strip Street Circuit,United States
54,lemans,Le Mans,France
43,long_beach,Long Beach,USA
78,losail,Losail International Circuit,Qatar
15,marina_bay,Marina Bay Street Circuit,Singapore
79,miami,Miami International Autodrome,USA
62,monsanto,Monsanto Park Circuit,Portugal
49,montjuic,Montjuïc,Spain
48,mosport,Mosport International Raceway,Canada
50,nivelles,Nivelles-Baulers,Belgium
20,nurburgring,Nürburgring,Germany
28,okayama,Okayama International Circuit,Japan
65,pescara,Pescara Circuit,Italy
33,phoenix,Phoenix street circuit,USA
56,george,Prince George Circuit,South Africa
70,red_bull_ring,Red Bull Ring,Austria
55,reims,Reims-Gueux,France
60,riverside,Riverside International Raceway,USA
53,essarts,Rouen-Les-Essarts,France
47,anderstorp,Scandinavian Raceway,Sweden
63,sebring,Sebring International Raceway,USA
2,sepang,Sepang International Circuit,Malaysia
17,shanghai,Shanghai International Circuit,China
9,silverstone,Silverstone Circuit,UK
71,sochi,Sochi Autodrom,Russia
22,suzuka,Suzuka Circuit,Japan
12,valencia,Valencia Street Circuit,Spain
46,watkins_glen,Watkins Glen,USA
24,yas_marina,Yas Marina Circuit,UAE
57,zeltweg,Zeltweg,Austria
40,zolder,Zolder,Belgium
