constructorId,constructorRef,name,nationality
147,afm,AFM,German
39,ags,AGS,French
54,ats,ATS,Italian
161,adams,Adams,American
51,alfa,Alfa Romeo,Swiss
213,alphatauri,AlphaTauri,Italian
214,alpine,Alpine F1 Team,French
126,alta,Alta,British
78,amon,Amon,New Zealander
38,moda,Andrea Moda,Italian
71,apollon,Apollon,Swiss
21,arrows,Arrows,British
137,arzani-volpini,Arzani-Volpini,Italian
152,butterworth,Aston Butterworth,British
117,aston_martin,Aston Martin,British
16,bar,BAR,British
145,bmw,BMW,German
2,bmw_sauber,BMW Sauber,German
66,brm,BRM,British
197,brm-ford,BRM-Ford,British
94,brp,BRP,British
104,behra-porsche,Behra-Porsche,Italian
85,bellasi,Bellasi,Swiss
22,benetton,Benetton,Italian
70,boro,Boro,Dutch
34,brabham,Brabham,British
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British
181,brabham-brm,Brabham-BRM,British
183,brabham-climax,Brabham-Climax,British
182,brabham-ford,Brabham-Ford,British
191,brabham-repco,Brabham-Repco,British
23,brawn,Brawn,British
139,bromme,Bromme,American
130,bugatti,Bugatti,French
207,caterham,Caterham,Malaysian
115,vhristensen,Christensen,American
153,cisitalia,Cisitalia,Italian
42,coloni,Coloni,Italian
125,connaught,Connaught,British
84,connew,Connew,British
87,cooper,Cooper,British
193,cooper-ats,Cooper-ATS,British
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British
195,cooper-brm,Cooper-BRM,British
169,cooper-borgward,Cooper-Borgward,British
171,cooper-castellotti,Cooper-Castellotti,British
170,cooper-climax,Cooper-Climax,British
192,cooper-ferrari,Cooper-Ferrari,British
186,cooper-ford,Cooper-Ford,British
167,cooper-maserati,Cooper-Maserati,British
168,cooper-osca,Cooper-OSCA,British
35,dallara,Dallara,Italian
86,tomaso,De Tomaso,Italian
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian
174,de_tomaso-osca,De Tomaso-Osca,Italian
150,deidt,Deidt,American
143,del_roy,Del Roy,American
96,derrington,Derrington,British
120,dunn,Dunn,American
146,emw,EMW,East German
100,enb,ENB,Belgian
151,era,ERA,British
88,eagle,Eagle,American
189,eagle-climax,Eagle-Climax,American
190,eagle-weslake,Eagle-Weslake,American
121,elder,Elder,American
75,hill,Embassy Hill,British
99,emeryson,Emeryson,British
57,ensign,Ensign,British
108,epperly,Epperly,American
44,eurobrun,Euro Brun,Italian
116,ewing,Ewing,American
102,ferguson,Ferguson,British
6,ferrari,Ferrari,Italian
56,fittipaldi,Fittipaldi,Brazilian
36,fondmetal,Fondmetal,Italian
29,footwork,Footwork,British
10,force_india,Force India,Indian
28,forti,Forti,Italian
148,frazer_nash,Frazer Nash,British
123,fry,Fry,British
97,gilby,Gilby,British
128,gordini,Gordini,French
164,hrt,HRT,Spanish
133,hwm,HWM,British
210,haas,Haas F1 Team,American
155,hall,Hall,American
64,hesketh,Hesketh,British
11,honda,Honda,Japanese
80,iso_marlboro,Iso Marlboro,British
101,jbw,JBW,British
19,jaguar,Jaguar,British
17,jordan,Jordan,Irish
61,kauhsen,Kauhsen,German
140,klenk,Klenk,German
72,kojima,Kojima,Japanese
113,kurtis_kraft,Kurtis Kraft,American
114,kuzma,Kuzma,American
89,lds,LDS,South African
185,lds-alfa_romeo,LDS-Alfa Romeo,South African
184,lds-climax,LDS-Climax,South African
68,lec,LEC,British
40,lambo,Lambo,Italian
132,lancia,Lancia,Italian
157,langley,Langley,American
33,larrousse,Larrousse,French
110,lesovsky,Lesovsky,American
41,leyton,Leyton House,British
47,life,Life,Italian
27,ligier,Ligier,French
26,lola,Lola,British
205,lotus_racing,Lotus,Malaysian
208,lotus_f1,Lotus F1,British
176,lotus-brm,Lotus-BRM,British
177,lotus-borgward,Lotus-Borgward,British
172,lotus-climax,Lotus-Climax,British
180,lotus-ford,Lotus-Ford,British
173,lotus-maserati,Lotus-Maserati,British
201,lotus-pw,Lotus-Pratt &amp; Whitney,British
76,lyncar,Lyncar,British
103,mbm,MBM,Swiss
13,mf1,MF1,Russian
74,maki,Maki,Japanese
209,manor,Manor Marussia,British
37,march,March,British
199,march-alfa_romeo,March-Alfa Romeo,British
200,march-ford,March-Ford,British
156,marchese,Marchese,American
65,martini,Martini,French
206,marussia,Marussia,Russian
105,maserati,Maserati,Italian
82,matra,Matra,French
196,matra-ford,Matra-Ford,French
69,mcguire,McGuire,Australian
1,mclaren,McLaren,British
